parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed,topical_score
Glabridin,COc1ccc(O)c(Oc2ccc(O)c(CO)c2)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
EGCG,COc1ccc(O)c(Oc2ccc(O)c(CO)c2)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
Curcumin,COc1ccc(O)c(Oc2cc(CO)ccc2O)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
Curcumin,COc1ccc(O)c(Oc2ccc(O)c(CO)c2)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
Asiaticoside,COc1ccc(O)c(Oc2cc(CO)ccc2O)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
EMB-3,COc1ccc(O)c(Oc2ccc(O)c(CO)c2)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
EMB-3,COc1ccc(O)c(Oc2cc(CO)ccc2O)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
Embelin,COc1ccc(O)c(Oc2cc(CO)ccc2O)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
Asiaticoside,COc1ccc(O)c(Oc2ccc(O)c(CO)c2)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
Embelin,COc1ccc(O)c(Oc2ccc(O)c(CO)c2)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
Glabridin,COc1ccc(O)c(Oc2cc(CO)ccc2O)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
EGCG,COc1ccc(O)c(Oc2cc(CO)ccc2O)c1,262.261,2.391,3,5,79.15,0.7880523622495819,0.7153856955829152
Asiaticoside,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.36300000000006,2.3732,3,6,88.38000000000001,0.7751440396931985,0.6906107063598652
Glabridin,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.36300000000006,2.3732,3,6,88.38000000000001,0.7751440396931985,0.6906107063598652
EMB-3,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.36300000000006,2.3732,3,6,88.38000000000001,0.7751440396931985,0.6906107063598652
EGCG,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.36300000000006,2.3732,3,6,88.38000000000001,0.7751440396931985,0.6906107063598652
Embelin,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.36300000000006,2.3732,3,6,88.38000000000001,0.7751440396931985,0.6906107063598652
Curcumin,COC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,344.36300000000006,2.3732,3,6,88.38000000000001,0.7751440396931985,0.6906107063598652
Curcumin,COC(=O)c1cc(OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
Embelin,COc1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
EMB-3,COc1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
EGCG,COc1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
EGCG,COC(=O)c1cc(OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
Curcumin,COc1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
Embelin,COC(=O)c1cc(OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
Glabridin,COc1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
EMB-3,COC(=O)c1cc(OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
Asiaticoside,COC(=O)c1cc(OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
Asiaticoside,COc1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
Glabridin,COC(=O)c1cc(OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698,0.6896190376856987
Asiaticoside,COC(=O)c1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
Embelin,COC(=O)c1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
Curcumin,COc1ccc(O)c(C(=O)OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
EGCG,COC(=O)c1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
Curcumin,COC(=O)c1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
EMB-3,COC(=O)c1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
Glabridin,COC(=O)c1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
Embelin,COc1ccc(O)c(C(=O)OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698,0.6896190376856983
